local_date_time_full,refresh_message,ID,main_ID,name,state_time_zone,time_zone,product_name,state,sort_order,wmo,history_product,local_date_time,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type_id,cloud_type,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt,latlong
2020-08-17T06:30:00+02:00,Issued at  2:41 pm EST Monday 17 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,17/02:30pm,20200817043000,-37.8,145.0,12.8,-,,,,-,4.3,11,6,15.0,6.0,1007.3,1007.3,1007.3,-,0.0,55,-,-,,,10,-,SW,7,4,"-37.8, 145.0"
2020-08-17T07:00:00+02:00,Issued at  3:11 pm EST Monday 17 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,17/03:00pm,20200817050000,-37.8,145.0,13.2,-,,,,-,5.0,17,9,15.9,5.5,1007.1,1007.1,1007.1,-,0.0,50,-,-,,,10,-,WNW,9,5,"-37.8, 145.0"
2020-08-17T05:30:00+02:00,Issued at  1:41 pm EST Monday 17 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,17/01:30pm,20200817033000,-37.8,145.0,14.1,-,,,,-,4.9,9,5,15.8,5.7,1007.8,1007.8,1007.8,-,0.0,51,-,-,,,10,-,WNW,4,2,"-37.8, 145.0"
2020-08-17T18:30:00+02:00,Issued at  2:41 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/02:30am,20200817163000,-37.8,145.0,7.5,-,,,,-,1.9,30,16,11.6,7.7,1002.9,1002.9,1002.9,-,0.2,77,-,-,,,10,-,N,19,10,"-37.8, 145.0"
2020-08-17T19:00:00+02:00,Issued at  3:11 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/03:00am,20200817170000,-37.8,145.0,8.1,-,,,,-,1.7,22,12,11.4,7.9,1002.4,1002.4,1002.4,-,0.2,79,-,-,,,10,-,N,15,8,"-37.8, 145.0"
2020-08-17T20:30:00+02:00,Issued at  4:41 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/04:30am,20200817183000,-37.8,145.0,7.4,-,,,,-,1.4,30,16,11.0,8.2,1001.6,1001.6,1001.6,-,0.2,83,-,-,,,10,-,N,17,9,"-37.8, 145.0"
2020-08-17T21:00:00+02:00,Issued at  5:11 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/05:00am,20200817190000,-37.8,145.0,7.2,-,,,,-,1.3,30,16,10.5,7.9,1001.4,1001.4,1001.4,-,0.2,84,-,-,,,10,-,N,15,8,"-37.8, 145.0"
2020-08-17T21:30:00+02:00,Issued at  5:41 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/05:30am,20200817193000,-37.8,145.0,7.0,-,,,,-,1.3,24,13,10.7,8.1,1001.2,1001.2,1001.2,-,0.2,84,-,-,,,10,-,N,17,9,"-37.8, 145.0"
2020-08-17T22:00:00+02:00,Issued at  6:11 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/06:00am,20200817200000,-37.8,145.0,7.5,-,,,,-,1.2,26,14,10.7,8.3,1001.1,1001.1,1001.1,-,0.2,85,-,-,,,10,-,N,15,8,"-37.8, 145.0"
2020-08-17T22:30:00+02:00,Issued at  6:41 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/06:30am,20200817203000,-37.8,145.0,7.6,-,,,,-,1.2,20,11,10.5,8.1,1001.1,1001.1,1001.1,-,0.2,85,-,-,,,10,-,N,13,7,"-37.8, 145.0"
2020-08-17T23:00:00+02:00,Issued at  7:11 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/07:00am,20200817210000,-37.8,145.0,7.4,-,,,,-,1.0,17,9,10.3,8.2,1001.1,1001.1,1001.1,-,0.2,87,-,-,,,10,-,N,13,7,"-37.8, 145.0"
2020-08-18T00:00:00+02:00,Issued at  8:11 am EST Tuesday 18 August 2020,IDV60901,IDV60900,Melbourne (Olympic Park),VIC,EST,Capital City Observations,Victoria,0,95936,IDV60901,18/08:00am,20200817220000,-37.8,145.0,8.7,-,,,,-,1.2,13,7,10.8,8.4,1001.2,1001.2,1001.2,-,0.2,85,-,-,,,10,-,NNE,9,5,"-37.8, 145.0"
