indicator,type,topic,description,response,year,respondent_group,sample_size,result,format
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,35-44 years,238,10.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,45-54 years,121,15.4,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,City of Melbourne,1488,14.1,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Docklands 3008,124,13.1,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,East Melbourne 3002,90,3.8,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,North Melbourne 3051 / West Melbourne 3003,239,15.7,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,Parkville 3052,94,6.6,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,122,14.0,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Male,582,11.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,City of Melbourne,1497,12.0,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,Kensington / Flemington 3031,120,6.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,124,13.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,18-24 years,371,48.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,25-34 years,448,43.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,35-44 years,229,46.0,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,City of Melbourne,1417,47.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Melbourne 3000,332,40.0,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,Parkville 3052,92,54.0,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",2022,South Wharf / Southbank 3006,159,54.7,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,35-44 years,237,96.0,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,45-54 years,121,91.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Docklands 3008,123,90.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,Kensington / Flemington 3031,121,93.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,North Melbourne 3051 / West Melbourne 3003,239,98.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,87.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",2022,25-34 years,466,24.1,Per cent
